url	x	y	user	timestamp
file:///home/sol-nhl/dev/cce-web/web/py/index.html	546	365		2024-08-05 18:36:37.069
file:///home/sol-nhl/dev/cce-web/web/py/index.html	548	366		2024-08-05 18:36:37.088
file:///home/sol-nhl/dev/cce-web/web/py/index.html	549	368		2024-08-05 18:36:37.100
file:///home/sol-nhl/dev/cce-web/web/py/index.html	549	368		2024-08-05 18:36:37.115
file:///home/sol-nhl/dev/cce-web/web/py/index.html	549	368		2024-08-05 18:36:37.140
file:///home/sol-nhl/dev/cce-web/web/py/index.html	550	368		2024-08-05 18:36:37.158
file:///home/sol-nhl/dev/cce-web/web/py/index.html	550	368		2024-08-05 18:36:37.757
file:///home/sol-nhl/dev/cce-web/web/py/index.html	551	368		2024-08-05 18:36:37.773
file:///home/sol-nhl/dev/cce-web/web/py/index.html	548	368		2024-08-05 18:36:37.862
file:///home/sol-nhl/dev/cce-web/web/py/index.html	541	368		2024-08-05 18:36:37.884
file:///home/sol-nhl/dev/cce-web/web/py/index.html	532	368		2024-08-05 18:36:37.895
file:///home/sol-nhl/dev/cce-web/web/py/index.html	527	368		2024-08-05 18:36:37.909
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	368		2024-08-05 18:36:37.926
file:///home/sol-nhl/dev/cce-web/web/py/index.html	515	368		2024-08-05 18:36:37.943
file:///home/sol-nhl/dev/cce-web/web/py/index.html	509	371		2024-08-05 18:36:37.959
file:///home/sol-nhl/dev/cce-web/web/py/index.html	506	372		2024-08-05 18:36:37.980
file:///home/sol-nhl/dev/cce-web/web/py/index.html	500	374		2024-08-05 18:36:38.005
file:///home/sol-nhl/dev/cce-web/web/py/index.html	496	375		2024-08-05 18:36:38.015
file:///home/sol-nhl/dev/cce-web/web/py/index.html	491	376		2024-08-05 18:36:38.031
file:///home/sol-nhl/dev/cce-web/web/py/index.html	489	377		2024-08-05 18:36:38.044
file:///home/sol-nhl/dev/cce-web/web/py/index.html	488	377		2024-08-05 18:36:38.063
file:///home/sol-nhl/dev/cce-web/web/py/index.html	484	380		2024-08-05 18:36:38.079
file:///home/sol-nhl/dev/cce-web/web/py/index.html	481	382		2024-08-05 18:36:38.097
file:///home/sol-nhl/dev/cce-web/web/py/index.html	473	386		2024-08-05 18:36:38.113
file:///home/sol-nhl/dev/cce-web/web/py/index.html	468	389		2024-08-05 18:36:38.133
file:///home/sol-nhl/dev/cce-web/web/py/index.html	461	395		2024-08-05 18:36:38.150
file:///home/sol-nhl/dev/cce-web/web/py/index.html	458	398		2024-08-05 18:36:38.166
file:///home/sol-nhl/dev/cce-web/web/py/index.html	454	401		2024-08-05 18:36:38.179
file:///home/sol-nhl/dev/cce-web/web/py/index.html	450	402		2024-08-05 18:36:38.196
file:///home/sol-nhl/dev/cce-web/web/py/index.html	449	405		2024-08-05 18:36:38.213
file:///home/sol-nhl/dev/cce-web/web/py/index.html	444	409		2024-08-05 18:36:38.228
file:///home/sol-nhl/dev/cce-web/web/py/index.html	441	413		2024-08-05 18:36:38.244
file:///home/sol-nhl/dev/cce-web/web/py/index.html	438	419		2024-08-05 18:36:38.262
file:///home/sol-nhl/dev/cce-web/web/py/index.html	437	422		2024-08-05 18:36:38.280
file:///home/sol-nhl/dev/cce-web/web/py/index.html	434	426		2024-08-05 18:36:38.296
file:///home/sol-nhl/dev/cce-web/web/py/index.html	432	429		2024-08-05 18:36:38.314
file:///home/sol-nhl/dev/cce-web/web/py/index.html	431	432		2024-08-05 18:36:38.329
